datetime,open,high,low,close,volume
2025-05-19 14:30:00+05:30,24938.5,24944.5,24938.3,24942.1,0
2025-05-19 14:31:00+05:30,24941.25,24943.4,24936.1,24938.05,0
2025-05-19 14:32:00+05:30,24937.25,24938.6,24932.55,24934.75,0
2025-05-19 14:33:00+05:30,24934.55,24939.05,24933.2,24937.5,0
2025-05-19 14:34:00+05:30,24936.65,24946.55,24936.4,24943.3,0
2025-05-19 14:35:00+05:30,24945.2,24948.2,24942.8,24945.95,0
2025-05-19 14:36:00+05:30,24945.2,24947.85,24941.9,24945.85,0
2025-05-19 14:37:00+05:30,24944.8,24947.55,24942.1,24945.8,0
2025-05-19 14:38:00+05:30,24944.3,24946.1,24939.6,24942.75,0
2025-05-19 14:39:00+05:30,24942.5,24944.85,24938.65,24942.5,0
2025-05-19 14:40:00+05:30,24942.15,24948.25,24941.7,24947.15,0
2025-05-19 14:41:00+05:30,24947.5,24949.65,24943.8,24945.3,0
2025-05-19 14:42:00+05:30,24944.75,24948.9,24941.55,24942.9,0
2025-05-19 14:43:00+05:30,24942.2,24943.85,24939.0,24940.55,0
2025-05-19 14:44:00+05:30,24940.95,24945.5,24938.55,24940.2,0
2025-05-19 14:45:00+05:30,24941.3,24942.8,24934.95,24935.65,0
2025-05-19 14:46:00+05:30,24935.2,24939.45,24933.3,24935.5,0
2025-05-19 14:47:00+05:30,24934.7,24936.3,24923.8,24923.95,0
2025-05-19 14:48:00+05:30,24924.45,24927.35,24916.65,24924.4,0
2025-05-19 14:49:00+05:30,24924.7,24932.35,24923.3,24929.85,0
2025-05-19 14:50:00+05:30,24931.55,24937.35,24927.75,24933.6,0
2025-05-19 14:51:00+05:30,24933.1,24934.35,24929.2,24931.3,0
2025-05-19 14:52:00+05:30,24931.05,24931.85,24924.2,24925.05,0
2025-05-19 14:53:00+05:30,24924.85,24926.05,24921.5,24922.3,0
2025-05-19 14:54:00+05:30,24922.2,24925.35,24919.0,24922.15,0
2025-05-19 14:55:00+05:30,24923.2,24931.7,24921.4,24928.85,0
2025-05-19 14:56:00+05:30,24928.05,24930.45,24925.3,24925.3,0
2025-05-19 14:57:00+05:30,24925.15,24928.0,24923.35,24925.75,0
2025-05-19 14:58:00+05:30,24925.45,24927.85,24923.95,24924.95,0
2025-05-19 14:59:00+05:30,24924.6,24926.75,24924.0,24926.45,0
2025-05-19 15:00:00+05:30,24926.95,24940.5,24926.2,24938.9,0
2025-05-19 15:01:00+05:30,24938.5,24958.5,24938.05,24958.0,0
2025-05-19 15:02:00+05:30,24956.1,24957.7,24951.15,24951.4,0
2025-05-19 15:03:00+05:30,24952.15,24953.7,24947.75,24951.75,0
2025-05-19 15:04:00+05:30,24951.65,24952.1,24947.35,24948.65,0
2025-05-19 15:05:00+05:30,24947.9,24955.65,24947.8,24953.6,0
2025-05-19 15:06:00+05:30,24952.35,24956.15,24952.35,24954.75,0
2025-05-19 15:07:00+05:30,24954.4,24955.4,24952.1,24952.45,0
2025-05-19 15:08:00+05:30,24952.2,24952.2,24936.65,24936.75,0
2025-05-19 15:09:00+05:30,24936.3,24945.7,24936.25,24945.25,0
2025-05-19 15:10:00+05:30,24945.65,24947.75,24943.05,24946.15,0
2025-05-19 15:11:00+05:30,24945.35,24945.85,24942.65,24943.2,0
2025-05-19 15:12:00+05:30,24943.5,24944.95,24942.5,24944.75,0
2025-05-19 15:13:00+05:30,24943.9,24949.5,24943.9,24946.65,0
2025-05-19 15:14:00+05:30,24946.6,24947.85,24945.5,24945.65,0
2025-05-19 15:15:00+05:30,24945.35,24946.15,24942.05,24942.65,0
2025-05-19 15:16:00+05:30,24942.0,24945.05,24940.3,24944.2,0
2025-05-19 15:17:00+05:30,24943.45,24946.85,24943.45,24946.15,0
2025-05-19 15:18:00+05:30,24946.2,24946.6,24941.6,24943.05,0
2025-05-19 15:19:00+05:30,24942.75,24945.4,24942.1,24945.4,0
2025-05-19 15:20:00+05:30,24944.85,24947.95,24943.3,24944.6,0
2025-05-19 15:21:00+05:30,24944.2,24947.55,24944.15,24946.3,0
2025-05-19 15:22:00+05:30,24945.75,24946.5,24943.4,24945.35,0
2025-05-19 15:23:00+05:30,24944.7,24946.0,24943.0,24944.3,0
2025-05-19 15:24:00+05:30,24943.85,24946.15,24939.75,24945.25,0
2025-05-19 15:25:00+05:30,24944.8,24949.4,24943.65,24949.1,0
2025-05-19 15:26:00+05:30,24948.3,24949.7,24946.75,24947.45,0
2025-05-19 15:27:00+05:30,24947.0,24951.65,24946.1,24947.4,0
2025-05-19 15:28:00+05:30,24946.5,24948.1,24935.25,24935.25,0
2025-05-19 15:29:00+05:30,24934.75,24941.0,24927.45,24935.35,0
2025-05-20 09:15:00+05:30,24996.2,25010.35,24977.5,24987.3,0
2025-05-20 09:16:00+05:30,24988.9,24998.6,24973.25,24984.9,0
2025-05-20 09:17:00+05:30,24985.2,24987.65,24968.0,24972.95,0
2025-05-20 09:18:00+05:30,24972.2,24980.1,24968.4,24976.4,0
2025-05-20 09:19:00+05:30,24974.75,24978.05,24971.75,24976.15,0
2025-05-20 09:20:00+05:30,24975.6,24975.6,24949.6,24951.65,0
2025-05-20 09:21:00+05:30,24952.95,24953.85,24939.25,24940.8,0
2025-05-20 09:22:00+05:30,24940.35,24965.5,24936.0,24965.3,0
2025-05-20 09:23:00+05:30,24965.45,24985.0,24963.05,24976.4,0
2025-05-20 09:24:00+05:30,24977.2,24985.05,24958.55,24960.0,0
2025-05-20 09:25:00+05:30,24960.6,24966.35,24949.35,24955.45,0
2025-05-20 09:26:00+05:30,24957.35,24967.95,24952.5,24966.95,0
2025-05-20 09:27:00+05:30,24967.0,24971.5,24948.95,24951.65,0
2025-05-20 09:28:00+05:30,24952.15,24956.95,24943.8,24948.1,0
2025-05-20 09:29:00+05:30,24948.4,24948.4,24934.45,24935.65,0
2025-05-20 09:30:00+05:30,24935.4,24941.9,24926.95,24927.4,0
2025-05-20 09:31:00+05:30,24927.65,24939.95,24916.75,24939.4,0
2025-05-20 09:32:00+05:30,24939.45,24956.9,24939.3,24955.0,0
